timestamp,node_name,response_status,simple_count,llm_count,agreement_score,consensus,common_categories,simple_unique,llm_unique,simple_vulnerable_count,simple_potential_count,simple_safe_count,llm_vulnerable_count,llm_potential_count,llm_safe_count,potential_agreement_score,potential_consensus,common_potential_categories,simple_unique_potential,llm_unique_potential,simple_results,llm_results
2025-10-01T17:10:32.660253,cards_response_2,200,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-01T17:10:35.001953,cards_response_3,200,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-01T17:10:36.731374,cards_response_4,200,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-01T17:10:39.041278,cards_response_5,200,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-01T17:10:41.290653,cards_response_6,200,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-01T17:10:42.638608,cards_response_7,200,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-01T17:10:45.939571,cards_response_8,,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-01T17:10:49.251985,cards_response_9,,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-01T17:10:51.608445,cards_response_10,200,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-01T17:10:54.163628,cards_response_11,200,1,1,0.0,both_detected,,Information Disclosure,Injection Attacks,1,0,0,0,0,1,0.0,no_potential,,,,"[{""detection_name"": ""Field Suggestions Enabled"", ""detection"": ""vulnerable"", ""category"": ""Information Disclosure"", ""description"": ""Field suggestions enabled - potential information disclosure"", ""evidence"": ""Found \""did you mean\"" in error message - field suggestions are enabled""}]","[{""detection_name"": ""LLM: Information Disclosure"", ""detection"": ""safe"", ""category"": ""Injection Attacks"", ""description"": ""The GraphQL response explicitly suggests correct field names ('name' for 'nam' and 'category' for 'cateory') when an incorrect field is provided. This behavior, known as 'field suggestion', is a form of information disclosure. While not directly exploitable in terms of gaining unauthorized access or executing commands, it leaks information about the API's schema and can assist an attacker in crafting valid queries, potentially speeding up reconnaissance or brute-forcing attempts on fields. This is not a critical vulnerability but does provide additional information to an attacker that should ideally not be exposed."", ""evidence"": ""{\""message\"": \""Cannot query field \\\""nam\\\"" on type \\\""Card\\\"". Did you mean \\\""name\\\""?\"", \""locations\"": [{\""line\"": 5, \""column\"": 5}]}, {\""message\"": \""Cannot query field \\\""cateory\\\"" on type \\\""Card\\\"". Did you mean \\\""category\\\""?\"", \""locations\"": [{\""line\"": 6, \""column\"": 5}]}"", ""confidence"": 0.9, ""llm_analysis"": {""is_vulnerable"": true, ""vulnerability_type"": ""Information Disclosure"", ""severity"": ""LOW"", ""confidence"": 0.9, ""evidence"": ""{\""message\"": \""Cannot query field \\\""nam\\\"" on type \\\""Card\\\"". Did you mean \\\""name\\\""?\"", \""locations\"": [{\""line\"": 5, \""column\"": 5}]}, {\""message\"": \""Cannot query field \\\""cateory\\\"" on type \\\""Card\\\"". Did you mean \\\""category\\\""?\"", \""locations\"": [{\""line\"": 6, \""column\"": 5}]}"", ""explanation"": ""The GraphQL response explicitly suggests correct field names ('name' for 'nam' and 'category' for 'cateory') when an incorrect field is provided. This behavior, known as 'field suggestion', is a form of information disclosure. While not directly exploitable in terms of gaining unauthorized access or executing commands, it leaks information about the API's schema and can assist an attacker in crafting valid queries, potentially speeding up reconnaissance or brute-forcing attempts on fields. This is not a critical vulnerability but does provide additional information to an attacker that should ideally not be exposed.""}}]"
2025-10-01T17:11:36.494961,cards_response_2,200,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
2025-10-01T17:11:38.629945,cards_response_3,200,0,0,0.0,no_vulnerabilities,,,,0,0,0,0,0,0,0.0,no_potential,,,,[],[]
